Sorisso Maroto;Samba;220000;1fUSLFr4WUBx7joEcGwpvG;;;;;;;;;;;
Thaeme & Thiago;Sertanejo;120000;7ABjmCErFBTzoGMVoQc2Sh;;;;;;;;;;;
Thiaguinho;Samba;140000;1vppDmG3i5sXf3DJzrK4T1;;;;;;;;;;;
Titãs;Pop Rock;85000;5bzWtCkjIAMgN93gLt56SO;;;;;;;;;;;
Tomate;Axe;80000;4wjMhaWYtdAuymckcsC0cr;;;;;;;;;;;
Tropkillaz;Hip Hop;35000;5bzWtCkjIAMgN93gLt56SO;;;;;;;;;;;
Tuca Fernandes;Axe;75000;01xRUrmsNkr9ImW6kStBu4;;;;;;;;;;;
Turma do Pagode;Samba;75000;5JG9GISYjRLQUJMH2C6iJ5;;;;;;;;;;;
Valesca Popuzada;Funk;37000;0IpLJsvZHA1op1pw8GAoPu;;;;;;;;;;;
Victor & Leo;Sertanejo;230000;2HtEBtekn0bXogyogD3PTr;;;;;;;;;;;
Wesley Safadão;Sertanejo;550000;1AL2GKpmRrKXkYIcASuRFa;;;;;;;;;;;
Xande de Pilares;Sertanejo;45000;4IQKOXNGjuRRe0WgOm5YfB;;;;;;;;;;;
Zé Neto & Cristiano;Sertanejo;350000;487N2T9nIPEHrlTZLL3SQs;;;;;;;;;;;
Zé Ricardo & Thiago;Sertanejo;105000;4ZUahcHoVxr4lsrfdmhjhV;;;;;;;;;;;
Zeca Pagodinho;Samba;250000;3qZ2n5keOAat1SoF6bHwmb;;;;;;;;;;;
